Locality Number	Station Number	Locality Name	Address Name
30000	4600	ירושלים	אסתר המלכה 3
30000	4620	ירושלים	דרך חברון 56
30000	4771	ירושלים	דרך בית לחם 113
30000	4772	ירושלים	דרך בית לחם 113
30000	4773	ירושלים	דרך בית לחם 113
30000	4774	ירושלים	דרך בית לחם 113
30000	4775	ירושלים	דרך בית לחם 113
30000	4820	ירושלים	"בית""ר 8"
30000	4850	ירושלים	"בית""ר 8"
30000	4870	ירושלים	"בית""ר 8"
30000	4911	ירושלים	דרך בית לחם 117
30000	4912	ירושלים	דרך בית לחם 117
30000	4913	ירושלים	דרך בית לחם 117
30000	4914	ירושלים	דרך בית לחם 117
30000	4915	ירושלים	דרך בית לחם 117
30000	4916	ירושלים	דרך בית לחם 117
30000	5870	ירושלים	קדושי בבל 22
30000	5900	ירושלים	קדושי בבל 1
30000	5910	ירושלים	קדושי בבל 1
30000	5920	ירושלים	רזיאל דוד 29
30000	5930	ירושלים	רזיאל דוד 13
30000	6130	ירושלים	אדם 28
30000	6340	ירושלים	גרונר דב 17
30000	6350	ירושלים	קדושי בבל 22
30000	6370	ירושלים	קדושי בבל 22
30000	6380	ירושלים	קדושי בבל 22
30000	6390	ירושלים	רזיאל דוד 13
30000	6400	ירושלים	אדם 28
30000	6410	ירושלים	רזיאל דוד 29
30000	6420	ירושלים	אדם 28
30000	6430	ירושלים	קדושי בבל 22
30000	6440	ירושלים	אדם 28
30000	6490	ירושלים	רזיאל דוד 13
30000	7960	ירושלים	"בית""ר 8"
30000	8290	ירושלים	"בית""ר 8"
30000	8630	ירושלים	אדם 28
30000	8700	ירושלים	"בית""ר 8"
30000	9600	ירושלים	"בית""ר 8"
30000	9650	ירושלים	"בית""ר 8"
30000	4680	ירושלים	בית הערבה 7
30000	4690	ירושלים	בית הערבה 7
30000	4880	ירושלים	כפר עציון 1
30000	4950	ירושלים	בית הערבה 7
30000	4970	ירושלים	בית הערבה 7
30000	5451	ירושלים	אלמדינה מונורה 142
30000	5452	ירושלים	אלמדינה מונורה 142
30000	7680	ירושלים	קורן אליהו 18
30000	7930	ירושלים	אביגור שאול 7
30000	7940	ירושלים	אביגור שאול 9
30000	8191	ירושלים	גנרל קניג פייר 16
30000	8192	ירושלים	גנרל קניג פייר 16
30000	8193	ירושלים	גנרל קניג פייר 16
30000	8500	ירושלים	אביגור שאול 9
30000	8510	ירושלים	אביגור שאול 9
30000	8520	ירושלים	רפאל יצחק 4
30000	8530	ירושלים	הרב ניסים יצחק 3
30000	8540	ירושלים	אביגור שאול 7
30000	8550	ירושלים	הרב ניסים יצחק 3
30000	8560	ירושלים	הרב ניסים יצחק 3
30000	8570	ירושלים	אביגור שאול 9
30000	8580	ירושלים	אביגור שאול 9
30000	8590	ירושלים	רפאל יצחק 4
30000	8600	ירושלים	שמחת כהן 24
30000	8640	ירושלים	קורן אליהו 18
30000	8650	ירושלים	קורן אליהו 18
