Bloc	Knesset	Locality	Party	Station	Votes
Arab-Israeli	13	310	44	120	0
Micro	13	310	45	120	0
Right	13	310	46	120	8
Micro	13	310	47	120	0
Micro	13	310	48	120	1
Micro	13	310	49	120	3
Orthodox	13	310	50	120	267
Right	13	310	51	120	7
Left	13	310	27	130	210
Orthodox	13	310	28	130	76
Orthodox	13	310	29	130	37
Micro	13	310	30	130	0
Micro	13	310	31	130	2
Arab-Israeli	13	310	32	130	0
Micro	13	310	33	130	0
Right	13	310	34	130	21
Micro	13	310	35	130	1
Micro	13	310	36	130	3
Micro	13	310	37	130	0
Micro	13	310	38	130	0
Right	13	310	39	130	232
Left	13	310	40	130	26
Micro	13	310	41	130	0
Micro	13	310	42	130	1
Micro	13	310	43	130	0
Arab-Israeli	13	310	44	130	0
Micro	13	310	45	130	0
Right	13	310	46	130	41
Micro	13	310	47	130	1
Micro	13	310	48	130	0
Micro	13	310	49	130	3
Orthodox	13	310	50	130	133
Right	13	310	51	130	9
Left	13	320	27	10	16
Orthodox	13	320	28	10	1
Orthodox	13	320	29	10	6
Micro	13	320	30	10	0
Micro	13	320	31	10	0
Arab-Israeli	13	320	32	10	0
Micro	13	320	33	10	0
Right	13	320	34	10	5
Micro	13	320	35	10	0
Micro	13	320	36	10	0
Micro	13	320	37	10	0
Micro	13	320	38	10	0
Right	13	320	39	10	86
Left	13	320	40	10	0
Micro	13	320	41	10	0
Micro	13	320	42	10	0
Micro	13	320	43	10	0
Arab-Israeli	13	320	44	10	1
Micro	13	320	45	10	0
Right	13	320	46	10	41
Micro	13	320	47	10	0
Micro	13	320	48	10	0
Micro	13	320	49	10	0
Orthodox	13	320	50	10	170
Right	13	320	51	10	0
Left	13	330	27	10	74
Orthodox	13	330	28	10	9
Orthodox	13	330	29	10	0
Micro	13	330	30	10	1
Micro	13	330	31	10	0
Arab-Israeli	13	330	32	10	0
Micro	13	330	33	10	0
Right	13	330	34	10	1
Micro	13	330	35	10	0
Micro	13	330	36	10	1
Micro	13	330	37	10	0
Micro	13	330	38	10	0
Right	13	330	39	10	35
Left	13	330	40	10	15
Micro	13	330	41	10	0
Micro	13	330	42	10	0
Micro	13	330	43	10	2
Arab-Israeli	13	330	44	10	0
Micro	13	330	45	10	0
Right	13	330	46	10	17
Micro	13	330	47	10	0
Micro	13	330	48	10	0
Micro	13	330	49	10	1
Orthodox	13	330	50	10	3
Right	13	330	51	10	3
Left	13	350	27	10	171
Orthodox	13	350	28	10	0
Orthodox	13	350	29	10	0
Micro	13	350	30	10	2
Micro	13	350	31	10	0
Arab-Israeli	13	350	32	10	0
Micro	13	350	33	10	0
Right	13	350	34	10	0
Micro	13	350	35	10	0
Micro	13	350	36	10	0
Micro	13	350	37	10	0
Micro	13	350	38	10	0
Right	13	350	39	10	4
Left	13	350	40	10	59
Micro	13	350	41	10	0
Micro	13	350	42	10	0
Micro	13	350	43	10	0
Arab-Israeli	13	350	44	10	0
Micro	13	350	45	10	0
Right	13	350	46	10	4
Micro	13	350	47	10	0
Micro	13	350	48	10	0
Micro	13	350	49	10	3
Orthodox	13	350	50	10	0
Right	13	350	51	10	0
Left	13	360	27	10	38
Orthodox	13	360	28	10	3
Orthodox	13	360	29	10	5
Micro	13	360	30	10	0
Micro	13	360	31	10	0
Arab-Israeli	13	360	32	10	0
Micro	13	360	33	10	0
Right	13	360	34	10	4
Micro	13	360	35	10	1
Micro	13	360	36	10	0
Micro	13	360	37	10	0
Micro	13	360	38	10	0
Right	13	360	39	10	110
Left	13	360	40	10	0
Micro	13	360	41	10	0
Micro	13	360	42	10	0
Micro	13	360	43	10	0
Arab-Israeli	13	360	44	10	0
Micro	13	360	45	10	0
Right	13	360	46	10	2
Micro	13	360	47	10	0
Micro	13	360	48	10	0
Micro	13	360	49	10	0
Orthodox	13	360	50	10	48
Right	13	360	51	10	0
Left	13	370	27	10	6
Orthodox	13	370	28	10	52
Orthodox	13	370	29	10	2
Micro	13	370	30	10	0
Micro	13	370	31	10	0
Arab-Israeli	13	370	32	10	1
Micro	13	370	33	10	0
Right	13	370	34	10	15
Micro	13	370	35	10	0
Micro	13	370	36	10	0
Micro	13	370	37	10	0
Micro	13	370	38	10	1
Right	13	370	39	10	72
Left	13	370	40	10	0
Micro	13	370	41	10	0
Micro	13	370	42	10	0
Micro	13	370	43	10	0
Arab-Israeli	13	370	44	10	0
Micro	13	370	45	10	0
Right	13	370	46	10	1
Micro	13	370	47	10	0
Micro	13	370	48	10	1
Micro	13	370	49	10	1
Orthodox	13	370	50	10	80
Right	13	370	51	10	1
Left	13	390	27	10	1
Orthodox	13	390	28	10	72
Orthodox	13	390	29	10	7
Micro	13	390	30	10	0
Micro	13	390	31	10	0
Arab-Israeli	13	390	32	10	0
Micro	13	390	33	10	0
Right	13	390	34	10	10
Micro	13	390	35	10	1
Micro	13	390	36	10	0
Micro	13	390	37	10	0
Micro	13	390	38	10	0
Right	13	390	39	10	51
Left	13	390	40	10	0
Micro	13	390	41	10	0
Micro	13	390	42	10	0
Micro	13	390	43	10	0
Arab-Israeli	13	390	44	10	0
Micro	13	390	45	10	0
Right	13	390	46	10	3
Micro	13	390	47	10	0
Micro	13	390	48	10	0
Micro	13	390	49	10	2
Orthodox	13	390	50	10	6
Right	13	390	51	10	0
Left	13	410	27	10	192
Orthodox	13	410	28	10	83
Orthodox	13	410	29	10	3
Micro	13	410	30	10	0
Micro	13	410	31	10	0
Arab-Israeli	13	410	32	10	0
Micro	13	410	33	10	0
Right	13	410	34	10	23
Micro	13	410	35	10	0
Micro	13	410	36	10	0
Micro	13	410	37	10	0
Micro	13	410	38	10	0
Right	13	410	39	10	258
Left	13	410	40	10	4
Micro	13	410	41	10	5
Micro	13	410	42	10	0
Micro	13	410	43	10	1
Arab-Israeli	13	410	44	10	0
Micro	13	410	45	10	0
Right	13	410	46	10	9
Micro	13	410	47	10	0
Micro	13	410	48	10	3
Micro	13	410	49	10	2
Orthodox	13	410	50	10	32
Right	13	410	51	10	19
Left	13	410	27	20	221
Orthodox	13	410	28	20	70
Orthodox	13	410	29	20	3
Micro	13	410	30	20	0
Micro	13	410	31	20	0
Arab-Israeli	13	410	32	20	0
Micro	13	410	33	20	0
Right	13	410	34	20	7
Micro	13	410	35	20	0
Micro	13	410	36	20	0
Micro	13	410	37	20	0
Micro	13	410	38	20	0
Right	13	410	39	20	162
Left	13	410	40	20	13
Micro	13	410	41	20	0
Micro	13	410	42	20	0
Micro	13	410	43	20	0
Arab-Israeli	13	410	44	20	0
Micro	13	410	45	20	2
Right	13	410	46	20	11
Micro	13	410	47	20	0
Micro	13	410	48	20	0
Micro	13	410	49	20	1
Orthodox	13	410	50	20	56
Right	13	410	51	20	18
Left	13	430	27	10	186
Orthodox	13	430	28	10	2
Orthodox	13	430	29	10	8
Micro	13	430	30	10	0
Micro	13	430	31	10	0
Arab-Israeli	13	430	32	10	0
Micro	13	430	33	10	0
Right	13	430	34	10	20
Micro	13	430	35	10	1
Micro	13	430	36	10	0
Micro	13	430	37	10	0
Micro	13	430	38	10	0
Right	13	430	39	10	151
Left	13	430	40	10	42
Micro	13	430	41	10	0
Micro	13	430	42	10	0
Micro	13	430	43	10	0
Arab-Israeli	13	430	44	10	0
Micro	13	430	45	10	0
Right	13	430	46	10	41
Micro	13	430	47	10	0
Micro	13	430	48	10	2
Micro	13	430	49	10	9
Orthodox	13	430	50	10	1
Right	13	430	51	10	1
Left	13	440	27	10	79
Orthodox	13	440	28	10	1
Orthodox	13	440	29	10	4
Micro	13	440	30	10	0
Micro	13	440	31	10	0
Arab-Israeli	13	440	32	10	0
Micro	13	440	33	10	0
Right	13	440	34	10	12
Micro	13	440	35	10	1
Micro	13	440	36	10	0
Micro	13	440	37	10	0
Micro	13	440	38	10	0
